price,spec_Backlight_Type,spec_Brand,spec_Display_Type,spec_ENERGY_STAR_Certified,spec_High_Dynamic_Range_HDR,spec_LED_Panel_Type,spec_Model_Year,spec_Refresh_Rate,spec_Remote_Control_Type,spec_Resolution,spec_Screen_Size_Class
139.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2023,60,Voice control,4K (2160p),43
99.99,Direct Lit,TCL,LED,No,No,Standard LED,2025,144,Standard,Full HD (1080p),40
109.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,120,Voice control,Full HD (1080p),40
199.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),55
189.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2023,60,Voice control,4K (2160p),50
529.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),48
229.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),50
279.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),55
74.99,None,Toshiba,LCD,No,No,None_OLED,2024,120,Voice control,HD (720p),32
179.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),50
199.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),43
479.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),75
499.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,144,Standard,4K (2160p),65
299.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),65
69.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,HD (720p),24
369.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
149.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),43
399.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
149.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),43
89.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,Full HD (1080p),32
399.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),70
299.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2025,120,"IR, Standard",4K (2160p),65
229.99,Direct Lit,Insignia,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),55
74.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,Full HD (1080p),24
1399.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),65
479.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),75
349.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),70
